subscriber_id,customer_id,device_id,plan_id,msisdn_like,start_date,subscriber_status,home_region
SUB00000050,CUST00001528,DEV0000293,PLN011,5552526719,2021-06-01,active ,Midwest
SUB00000051,CUST00001126,DEV0000310,PLN002,5556039315,2021-01-24,Active,Southwest
SUB00000052,CUST00000414,DEV0000568,PLN004,5558794750,2022-06-12,Suspended,West
SUB00000053,CUST00004473,DEV0001085,PLN003,5554995128,2024-01-25,Active,Northeast
SUB00000054,CUST00004105,DEV0002213,PLN009,5555699508,2024-11-10,Active,Midwest
SUB00000055,CUST00001514,DEV0002121,PLN013,5556456833,2022-02-22,Cancelled,Northeast
SUB00000056,CUST00002839,DEV0002320,PLN016,5556309906,2025-08-01,Cancelled,Midwest
SUB00000057,CUST00000480,DEV0001812,PLN018,5555094930,2020-09-13,Active,Midwest
SUB00000058,CUST00000152,DEV0000844,PLN011,5555653921,2020-02-18,active ,Southeast
SUB00000059,CUST00001545,DEV0002150,PLN002,5555926818,2024-05-31,Active,West
SUB00000060,CUST00004078,DEV0000375,PLN020,5557674898,2020-09-22,Active,Midwest
SUB00000061,CUST00001311,DEV0001090,PLN011,5553653308,2022-06-17,active ,Southwest
SUB00000062,CUST00000197,DEV0001422,PLN009,5556992542,2025-03-27,Active,Midwest
SUB00000063,CUST00000399,DEV0002032,PLN009,5552254103,2024-12-13,active ,Southwest
SUB00000064,CUST00001515,DEV0001667,PLN001,5551874858,2022-07-26,Active,Southeast
SUB00000065,CUST00002711,DEV0000755,PLN003,5552559050,2020-03-15,active ,Midwest
SUB00000066,CUST00003545,DEV0001085,PLN005,5555619708,2025-01-14,Active,Northeast
SUB00000067,CUST00000847,DEV0000256,PLN016,5551356622,2023-03-10,Active,Southwest
SUB00000068,CUST00004221,DEV0000050,PLN008,5551119912,2021-04-23,active ,West
SUB00000069,CUST00004068,DEV0000032,PLN003,5559679491,2024-06-27,Active,Southwest
SUB00000070,CUST00000996,DEV0001622,PLN008,5554568658,2022-12-11,Active,Southwest
SUB00000071,CUST00002491,DEV0000979,PLN005,5559656906,2023-10-24,Cancelled,Southwest
SUB00000072,CUST00001812,DEV0001572,PLN009,5552687848,2024-08-10,Suspended,Midwest
SUB00000073,CUST00000780,DEV0001641,PLN018,5559320104,2025-02-17,Active,Southwest
SUB00000074,CUST00002726,DEV0000359,PLN007,5554905011,2022-03-20,Suspended,Northeast
SUB00000075,CUST00002703,DEV0002036,PLN005,5553494827,2021-09-12,active ,Southwest
SUB00000076,CUST00001759,DEV0002403,PLN003,5559913543,2025-09-08,active ,Midwest
SUB00000077,CUST00000035,DEV0000011,PLN009,5558264746,2021-01-24,Active,Midwest
SUB00000078,CUST00004271,DEV0001905,PLN003,5551498657,2026-02-19,Active,Northeast
SUB00000079,CUST00004492,DEV0001396,PLN007,5557619287,2020-11-06,Suspended,West
SUB00000080,CUST00001768,DEV0001764,PLN018,5559840295,2022-10-01,Suspended,Midwest
SUB00000081,CUST00004294,DEV0001971,PLN006,5556297391,2022-05-04,Cancelled,Southeast
SUB00000082,CUST00003505,DEV0001208,PLN011,5551447323,2021-07-10,active ,Southwest
SUB00000083,CUST00004209,DEV0002360,PLN019,5554327042,2023-12-22,active ,West
SUB00000084,CUST00001109,DEV0001403,PLN007,5552248261,2021-04-22,Active,West
SUB00000085,CUST00000450,DEV0001704,PLN014,5559328128,2021-09-27,Suspended,Northeast
SUB00000086,CUST00003013,DEV0002186,PLN013,5559108822,2020-01-02,Suspended,West
SUB00000087,CUST00001257,DEV0001500,PLN001,5554283804,2025-02-08,Active,Midwest
SUB00000088,CUST00000257,DEV0001100,PLN009,5556804440,2023-12-30,Suspended,Northeast
SUB00000089,CUST00000202,DEV0000966,PLN020,5556148584,2025-12-28,Suspended,Southeast
SUB00000090,CUST00004062,DEV0001799,PLN012,5559549308,2020-09-03,Active,Northeast
SUB00000091,CUST00000586,DEV0000043,PLN001,5555230469,2023-07-29,Suspended,Southwest
SUB00000092,CUST00002567,DEV0001554,PLN005,5551891235,2022-10-02,Cancelled,Midwest
SUB00000093,CUST00001575,DEV0001776,PLN002,5551579330,2024-03-14,active ,Southeast
SUB00000094,CUST00004035,DEV0002291,PLN010,5553147820,2023-03-19,Active,Midwest
SUB00000095,CUST00002801,DEV0001479,PLN004,5556625371,2023-10-16,Active,Southeast
SUB00000096,CUST00002065,DEV0002421,PLN011,5551922393,2023-10-07,active ,Southwest
SUB00000097,CUST00002293,DEV0001532,PLN014,5558293339,2023-11-10,active ,Northeast
SUB00000098,CUST00000910,DEV0001534,PLN016,5554871786,2020-08-04,Active,Midwest
SUB00000099,CUST00004127,DEV0002184,PLN009,5555145818,2020-09-02,active ,Southwest
SUB00000100,CUST00002345,DEV0001934,PLN010,5555147195,2020-02-13,Suspended,Midwest
SUB00000101,CUST00001409,DEV0000090,PLN008,5559316109,2023-01-27,Active,Midwest
SUB00000102,CUST00004306,DEV0001443,PLN011,5559047985,2024-05-25,Suspended,Midwest
SUB00000103,CUST00004022,DEV0000386,PLN013,5554937051,2025-05-06,Active,Southeast
SUB00000104,CUST00003641,DEV0001856,PLN009,5554864153,2024-07-26,Suspended,Midwest
SUB00000105,CUST00004347,DEV0001144,PLN010,5555591906,2023-11-21,Active,Midwest
SUB00000106,CUST00001011,DEV0000779,PLN020,5552403133,2026-03-24,Active,Northeast
SUB00000107,CUST00001212,DEV0000934,PLN001,5553773284,2020-01-06,Active,Northeast
SUB00000108,CUST00001756,DEV0000156,PLN010,5551741749,2020-09-03,Active,Midwest
SUB00000109,CUST00002348,DEV0000415,PLN015,5551985675,2024-04-27,Suspended,Northeast
SUB00000110,CUST00000475,DEV0001699,PLN004,5551099950,2020-02-16,Active,West
SUB00000111,CUST00002597,DEV0000974,PLN006,5553366589,2023-09-28,Suspended,Midwest
SUB00000112,CUST00001341,DEV0002177,PLN005,5555202950,2020-03-03,Cancelled,Northeast
SUB00000113,CUST00001517,DEV0002223,PLN007,5553260397,2022-07-18,active ,Northeast
SUB00000114,CUST00001471,DEV0000735,PLN015,5559216147,2020-11-08,Suspended,Midwest
SUB00000115,CUST00004082,DEV0001482,PLN005,5551080299,2023-11-16,Active,Southwest
SUB00000116,CUST00000809,DEV0001356,PLN012,5555409756,2024-11-28,Cancelled,Midwest
SUB00000117,CUST00002653,DEV0001419,PLN015,5553076843,2024-12-21,Active,West
SUB00000118,CUST00002357,DEV0001481,PLN003,5556585729,2025-07-10,Active,Northeast
SUB00000119,CUST00002081,DEV0002174,PLN014,5555401651,2020-09-10,Active,Midwest
SUB00000120,CUST00002011,DEV0002178,PLN016,5552496276,2025-06-26,Cancelled,Southwest
SUB00000121,CUST00003013,DEV0001232,PLN014,5554047632,2022-01-10,Active,West
SUB00000122,CUST00000305,DEV0001631,PLN019,5556469270,2023-03-14,active ,Midwest
SUB00000123,CUST00000206,DEV0002484,PLN013,5553230694,2024-08-11,Cancelled,Southeast
SUB00000124,CUST00002230,DEV0001563,PLN004,5554877657,2020-10-14,Suspended,Southwest
SUB00000125,CUST00001734,DEV0001641,PLN013,5556326240,2022-06-02,Cancelled,Midwest
SUB00000126,CUST00003387,DEV0000445,PLN014,5554502300,2021-05-08,active ,Northeast
SUB00000127,CUST00003692,DEV0001377,PLN014,5551601100,2025-07-05,Suspended,Northeast
SUB00000128,CUST00001696,DEV0002094,PLN015,5559438279,2023-02-04,Active,Northeast
SUB00000129,CUST00000753,DEV0000611,PLN006,5552205597,2025-07-04,Cancelled,Northeast
SUB00000130,CUST00000777,DEV0001271,PLN010,5554650217,2025-06-16,Cancelled,Southwest
SUB00000131,CUST00001054,DEV0000772,PLN004,5557602443,2025-04-13,Cancelled,Midwest
SUB00000132,CUST00001904,DEV0000332,PLN013,5551870654,2022-10-07,active ,Midwest
SUB00000133,CUST00002488,DEV0000955,PLN001,5557655031,2022-06-07,Active,West
SUB00000134,CUST00004107,DEV_BAD,PLN006,5553220889,2025-10-10,Active,Midwest
SUB00000135,CUST00003208,DEV0001160,PLN012,5554707997,2024-10-12,Active,Southeast
SUB00000136,CUST00000790,DEV0002252,PLN020,5557520752,2020-09-04,Active,Midwest
SUB00000137,CUST00000096,DEV0000351,PLN004,5557125620,2025-03-22,Cancelled,West
SUB00000138,CUST00000891,DEV0002195,PLN012,5554704699,2021-11-29,active ,Midwest
SUB00000139,CUST00000006,DEV0001790,PLN017,5551811196,2024-12-12,Suspended,Midwest
SUB00000140,CUST00000246,DEV0001632,PLN019,5554306325,2020-04-20,active ,Southeast
SUB00000141,CUST00003022,DEV0000145,PLN011,5557692909,2025-05-13,Cancelled,Southeast
SUB00000142,CUST00003141,DEV0002453,PLN009,5553651178,2020-04-27,active ,Southwest
SUB00000143,CUST00002016,DEV0001664,PLN010,5559007080,2021-10-27,Active,Southeast
SUB00000144,CUST00002165,DEV0000171,PLN003,5557010477,2024-11-17,Active,Northeast
SUB00000145,CUST00002825,DEV0002218,PLN004,5554992995,2025-12-25,Suspended,Northeast
SUB00000146,CUST00003358,DEV0001070,PLN015,5559940887,2022-02-12,Active,Northeast
SUB00000147,CUST00003748,DEV0002328,PLN006,5551377715,2021-06-30,Active,Midwest
SUB00000148,CUST00003085,DEV0002283,PLN011,5559950385,2021-06-25,Suspended,Southwest
SUB00000149,CUST00001139,DEV0000446,PLN012,5553074338,2022-08-19,Active,West
SUB00000150,CUST00003140,DEV0002317,PLN011,5557590671,2021-06-13,Active,West
SUB00000151,CUST00003767,DEV0001053,PLN008,5554294074,2025-09-08,Active,Northeast
SUB00000152,CUST00001666,DEV0002349,PLN005,5552678964,2023-09-29,active ,West
SUB00000153,CUST00003472,DEV0000144,PLN016,5557405802,2025-07-30,Active,West
SUB00000154,CUST00000499,DEV0001731,PLN017,5553974150,2022-05-09,Active,Southwest
SUB00000155,CUST00001805,DEV0002496,PLN003,5551071280,2020-10-06,active ,Southeast
SUB00000156,CUST00003268,DEV0001614,PLN001,5558800949,2025-11-23,Active,Southeast
SUB00000157,CUST00002597,DEV0000537,PLN005,5558011462,2026-02-03,Active,Midwest
SUB00000158,CUST00003422,DEV0000373,PLN006,5557400601,2024-04-27,active ,Northeast
SUB00000159,CUST00004498,DEV0002043,PLN013,5554487088,2024-09-30,Active,Northeast
SUB00000160,CUST00000822,DEV0001721,PLN004,5558831315,2022-06-17,Cancelled,Southeast
SUB00000161,CUST00002142,DEV0000439,PLN004,5552106203,2020-05-14,Active,Midwest
SUB00000162,CUST00002729,DEV0001767,PLN009,5552570691,2021-12-12,active ,Midwest
SUB00000163,CUST00002734,DEV0001892,PLN018,5557631276,2020-12-15,Active,Southeast
SUB00000164,CUST00002120,DEV0000139,PLN017,5555707006,2024-08-23,Active,Southeast
SUB00000165,CUST00003030,DEV0000926,PLN012,5551142383,2025-10-11,Suspended,West
SUB00000166,CUST00003986,DEV0001934,PLN015,5558302412,2020-04-12,Active,Southwest
SUB00000167,CUST00003374,DEV0001757,PLN016,5553929465,2021-11-12,Cancelled,Southeast
SUB00000168,CUST00003457,DEV0001152,PLN006,5553394610,2023-07-18,Suspended,West
SUB00000169,CUST00003989,DEV0001684,PLN005,5556199002,2020-05-15,Suspended,West
SUB00000170,CUST00001904,DEV0000825,PLN001,5553015968,2024-02-20,Active,Midwest
SUB00000171,CUST00002760,DEV0000707,PLN008,5554370616,2021-12-03,Active,Midwest
SUB00000172,CUST00000488,DEV0000407,PLN014,5551026169,2024-10-25,active ,Midwest
SUB00000173,CUST00001489,DEV0000553,PLN020,5558219373,2021-01-07,Active,Southwest
SUB00000174,CUST00001687,DEV0000779,PLN010,5552015666,2023-03-15,Active,Northeast
SUB00000175,CUST00000341,DEV0001274,PLN016,5559466152,2020-11-06,Active,Northeast
SUB00000176,CUST00000438,DEV0001837,PLN013,5555911239,2020-01-19,Cancelled,West
SUB00000177,CUST00002458,DEV0001000,PLN017,5554936611,2026-03-07,Suspended,West
SUB00000178,CUST00003202,DEV0001777,PLN008,5551661299,2023-03-04,Cancelled,Midwest
SUB00000179,CUST00004273,DEV0000495,PLN001,5556610424,2023-05-07,Cancelled,Southwest
SUB00000180,CUST00003673,DEV0001488,PLN008,5553419573,2022-10-04,active ,West
SUB00000181,CUST00002739,DEV0002297,PLN015,5551014409,2024-06-21,Active,Southwest
SUB00000182,CUST00004153,DEV0001490,PLN018,5559498980,2025-12-11,Active,Southwest
SUB00000183,CUST00001090,DEV0000075,PLN008,5559234040,2025-09-06,Suspended,Northeast
SUB00000184,CUST00000320,DEV0002354,PLN016,5556576299,2020-11-04,active ,Northeast
SUB00000185,CUST00000909,DEV0002489,PLN002,5559592582,2024-02-05,active ,Midwest
SUB00000186,CUST00001206,DEV_BAD,PLN003,5557676369,2021-05-25,Suspended,Midwest
SUB00000187,CUST00000790,DEV0001147,PLN018,5551722900,2023-04-16,Cancelled,Midwest
SUB00000188,CUST00000239,DEV0000710,PLN002,5554822394,2022-11-13,Cancelled,Southwest
SUB00000189,CUST00003056,DEV0001705,PLN013,5554662099,2026-01-10,Active,Northeast
SUB00000190,CUST00001853,DEV0000887,PLN013,5555762260,2024-03-05,Cancelled,Southeast
SUB00000191,CUST00000861,DEV0001790,PLN009,5555977203,2024-04-10,Active,West
SUB00000192,CUST00003094,DEV0000281,PLN009,5559331493,2026-02-12,Suspended,Northeast
SUB00000193,CUST00003282,DEV0001345,PLN002,5558316565,2021-03-26,Cancelled,Southwest
SUB00000194,CUST00000008,DEV0000547,PLN006,5559925700,2023-04-10,active ,Midwest
SUB00000195,CUST00003948,DEV0001034,PLN005,5553663677,2023-10-07,Cancelled,Northeast
SUB00000196,CUST00003721,DEV0002272,PLN003,5554401683,2025-08-13,Active,Southwest
SUB00000197,CUST00003042,DEV0001343,PLN002,5554555588,2021-10-22,Active,Southwest
SUB00000198,CUST00000785,DEV0000036,PLN017,5553301880,2023-01-07,Active,Northeast
SUB00000199,CUST00001145,DEV0000918,PLN015,5552574381,2020-10-30,Active,West
SUB00000200,CUST00000842,DEV0000990,PLN010,5556457397,2023-01-15,Active,Northeast
SUB00000201,CUST00002276,DEV0002142,PLN002,5558107173,2023-12-25,Cancelled,Midwest
SUB00000202,CUST00001332,DEV0000506,PLN015,5553729496,2022-02-20,Cancelled,Northeast
SUB00000203,CUST00001735,DEV0000163,PLN014,5553776191,2026-03-27,active ,Northeast
SUB00000204,CUST00000931,DEV0002412,PLN004,5553558654,2020-01-31,active ,Northeast
SUB00000205,CUST00002491,DEV0000439,PLN013,5558173154,2022-12-10,active ,Southwest
SUB00000206,CUST00001957,DEV0000509,PLN016,5553541491,2025-03-16,Active,Southeast
SUB00000207,CUST00003041,DEV0002261,PLN012,5558551664,2021-11-25,Active,Midwest
SUB00000208,CUST00003669,DEV0000805,PLN019,5552464647,2024-09-13,active ,Northeast
SUB00000209,CUST00004297,DEV0000456,PLN011,5551451382,2024-05-17,Suspended,Southeast
SUB00000210,CUST00000501,DEV0000962,PLN020,5557094541,2023-06-28,active ,Midwest
SUB00000211,CUST00001368,DEV0001120,PLN003,5559060592,2025-10-21,Active,Northeast
SUB00000212,CUST00001739,DEV0001174,PLN006,5557802130,2023-06-09,Cancelled,Southeast
SUB00000213,CUST00003254,DEV0000545,PLN007,5555592109,2025-11-25,active ,Southeast
SUB00000214,CUST00003948,DEV0001084,PLN017,5557226241,2025-01-31,Cancelled,Northeast
SUB00000215,CUST00002515,DEV0001519,PLN004,5554531613,2025-12-02,active ,Northeast
SUB00000216,CUST00002876,DEV0002075,PLN006,5556041200,2022-05-22,active ,Southeast
SUB00000217,CUST00001458,DEV0001294,PLN019,5555414126,2020-12-14,Cancelled,Southwest
SUB00000218,CUST00002198,DEV0001636,PLN008,5554647839,2021-11-30,Active,Southwest
SUB00000219,CUST00003920,DEV0000379,PLN012,5555555912,2022-03-27,active ,Midwest
SUB00000220,CUST00001209,DEV0001467,PLN015,5551046909,2020-04-05,Active,Northeast
SUB00000221,CUST00002148,DEV0001919,PLN002,5556180696,2025-08-30,Cancelled,Midwest
SUB00000222,CUST00002837,DEV0002404,PLN018,5558593202,2025-04-21,active ,West
SUB00000223,CUST00000844,DEV0001821,PLN005,5553853446,2021-04-21,Active,West
SUB00000224,CUST00004243,DEV0001860,PLN012,5555779688,2025-08-12,Active,Southeast
SUB00000225,CUST00003650,DEV0000983,PLN016,5551413806,2022-04-04,Active,West
SUB00000226,CUST00003243,DEV0000648,PLN005,5554454267,2025-08-31,active ,Southwest
SUB00000227,CUST00003042,DEV0001932,PLN006,5552684823,2024-08-06,active ,Southwest
SUB00000228,CUST00000895,DEV0000908,PLN013,5559520962,2023-08-08,Suspended,West
SUB00000229,CUST00002393,DEV0001235,PLN005,5556232164,2023-07-24,Active,Northeast
SUB00000230,CUST00000021,DEV0000200,PLN006,5554256523,2021-06-21,Active,Southwest
SUB00000231,CUST00000703,DEV0000401,PLN009,5556862061,2026-01-20,Active,Northeast
SUB00000232,CUST00000057,DEV0000069,PLN020,5554338316,2022-11-23,Cancelled,Southwest
SUB00000233,CUST00000707,DEV0001586,PLN011,5553495528,2021-05-10,Active,Southeast
SUB00000234,CUST00002533,DEV0001589,PLN004,5555431281,2024-05-29,active ,Southwest
SUB00000235,CUST00003857,DEV0001477,PLN008,5557032516,2024-08-14,Suspended,Southwest
SUB00000236,CUST00000085,DEV0001512,PLN019,5558657374,2026-03-21,Suspended,Southeast
SUB00000237,CUST00000935,DEV0000290,PLN007,5558503262,2021-09-10,Cancelled,Northeast
SUB00000238,CUST00000962,DEV0001654,PLN019,5553055638,2022-04-20,Suspended,Southeast
SUB00000239,CUST00001749,DEV0001049,PLN002,5556086203,2023-11-30,active ,Midwest
SUB00000240,CUST00002804,DEV0001846,PLN020,5555581549,2021-01-06,active ,Southeast
SUB00000241,CUST00001124,DEV0000081,PLN013,5554942758,2021-10-23,Suspended,Southwest
SUB00000242,CUST00003714,DEV0000245,PLN016,5551271912,2023-10-09,Cancelled,Midwest
SUB00000243,CUST00003132,DEV0002031,PLN006,5557163155,2022-02-19,Suspended,Northeast
SUB00000244,CUST00001016,DEV0000900,PLN016,5559354721,2025-12-15,Suspended,Northeast
SUB00000245,CUST00002294,DEV0001653,PLN002,5551188031,2023-08-05,Suspended,Midwest
SUB00000246,CUST00003433,DEV0001614,PLN008,5558831976,2023-03-21,Cancelled,Southeast
SUB00000247,CUST00004206,DEV0001704,PLN005,5557805240,2024-12-02,active ,Southwest
SUB00000248,CUST00003746,DEV0001514,PLN016,5558291473,2020-10-25,Active,Southwest
SUB00000249,CUST00000966,DEV0000929,PLN013,5554575153,2020-01-19,Active,Northeast
SUB00000250,CUST00003003,DEV0001449,PLN001,5559166172,2026-04-07,Active,Midwest
SUB00000251,CUST00000708,DEV0001675,PLN005,5554558605,2024-07-30,Cancelled,Southwest
SUB00000252,CUST00000755,DEV0001784,PLN013,5552227849,2024-08-06,Active,Northeast
SUB00000253,CUST00002568,DEV0000869,PLN020,5553594275,2024-10-14,Suspended,Northeast
SUB00000254,CUST00003635,DEV0000854,PLN012,5552928812,2020-11-27,Active,West
SUB00000255,CUST00000102,DEV0000614,PLN018,5551129926,2024-02-16,Cancelled,Midwest
SUB00000256,CUST00004187,DEV0002173,PLN012,5555678845,2025-01-03,Suspended,Northeast
SUB00000257,CUST00003640,DEV0002085,PLN017,5553381889,2021-09-14,Active,Midwest
SUB00000258,CUST00004451,DEV0002404,PLN020,5553942870,2020-03-22,active ,West
SUB00000259,CUST00001683,DEV0000860,PLN019,5554570790,2026-03-07,Active,West
SUB00000260,CUST00003990,DEV0002022,PLN002,5552672279,2022-04-05,Suspended,Midwest
SUB00000261,CUST00003122,DEV0001432,PLN015,5552743357,2023-05-26,Cancelled,West
SUB00000262,CUST00001934,DEV0002325,PLN020,5555705047,2021-02-08,Suspended,West
SUB00000263,CUST00002543,DEV0001007,PLN008,5554461867,2025-07-20,Cancelled,Midwest
SUB00000264,CUST00000029,DEV0002144,PLN014,5557027247,2020-11-14,Active,Southwest
SUB00000265,CUST00000305,DEV0000424,PLN004,5558118414,2021-12-13,active ,Midwest
SUB00000266,CUST00004276,DEV0000216,PLN010,5556602190,2025-08-30,Cancelled,Southwest
SUB00000267,CUST00001755,DEV0000061,PLN018,5559261926,2024-05-25,Active,Midwest
SUB00000268,CUST00004308,DEV0001860,PLN009,5559722444,2025-02-19,Suspended,Southeast
SUB00000269,CUST00002399,DEV0001155,PLN002,5553206627,2021-12-19,active ,Northeast
SUB00000270,CUST00004012,DEV0001938,PLN020,5552216525,2023-01-21,Suspended,Southwest
SUB00000271,CUST00001269,DEV0001078,PLN005,5551347654,2022-11-19,active ,Southwest
SUB00000272,CUST00000282,DEV0000011,PLN005,5558818082,2024-03-14,Cancelled,Midwest
SUB00000273,CUST00000725,DEV0001318,PLN004,5553857071,2026-03-24,Suspended,West
SUB00000274,CUST00003520,DEV0001995,PLN009,5557231426,2023-01-17,Active,West
SUB00000275,CUST00002249,DEV0002260,PLN016,5551234811,2024-04-12,active ,Southwest
SUB00000276,CUST00000996,DEV0000696,PLN002,5557041119,2022-01-15,active ,Southwest
SUB00000277,CUST00003611,DEV0001831,PLN015,5553964113,2020-12-09,Active,Midwest
SUB00000278,CUST00002633,DEV0001426,PLN001,5554394866,2022-11-05,Suspended,Northeast
SUB00000279,CUST00000287,DEV0001284,PLN008,5559746408,2021-11-01,Cancelled,Northeast
SUB00000280,CUST00002389,DEV0001349,PLN001,5552065652,2024-02-08,Cancelled,Northeast
SUB00000281,CUST00000179,DEV0000964,PLN016,5557343632,2023-03-23,Active,Midwest
SUB00000282,CUST00003358,DEV0002200,PLN017,5552721728,2021-08-02,active ,Northeast
SUB00000283,CUST00004283,DEV0001000,PLN007,5554181200,2020-12-19,active ,West
SUB00000284,CUST00001215,DEV0000272,PLN009,5559195086,2026-04-29,Cancelled,Northeast
SUB00000285,CUST00003242,DEV0000248,PLN017,5555466130,2021-04-26,Cancelled,Southeast
SUB00000286,CUST00001019,DEV0000671,PLN018,5557292836,2026-02-22,Cancelled,Northeast
SUB00000287,CUST00000413,DEV0000881,PLN007,5555405887,2025-07-09,Active,Northeast
SUB00000288,CUST00004428,DEV0000513,PLN008,5553716824,2024-08-08,Active,Northeast
SUB00000289,CUST00001099,DEV0000792,PLN011,5551533431,2021-07-24,Active,West
SUB00000290,CUST00000984,DEV0000534,PLN013,5556546971,2023-12-29,Cancelled,Southwest
SUB00000291,CUST00003767,DEV0000663,PLN004,5557188509,2023-09-19,Cancelled,Northeast
SUB00000292,CUST00001731,DEV0000498,PLN012,5557115579,2025-05-27,Active,Northeast
SUB00000293,CUST00002210,DEV0001721,PLN011,5552161675,2023-08-08,Cancelled,Midwest
SUB00000294,CUST00003065,DEV0001059,PLN002,5553430213,2023-03-13,Active,Midwest
SUB00000295,CUST00003980,DEV0001697,PLN003,5555243555,2021-07-08,Cancelled,Southwest
SUB00000296,CUST00000994,DEV0000849,PLN003,5551564785,2022-06-14,Suspended,Southeast
SUB00000297,CUST00001724,DEV0001234,PLN019,5552739721,2023-09-17,Cancelled,Southeast
SUB00000298,CUST00004076,DEV0000666,PLN005,5554428655,2020-03-15,Cancelled,West
SUB00000299,CUST00003940,DEV0000106,PLN015,5553382198,2025-09-09,Active,Midwest
